Name,District,Party,Hometown,SwearIn,Ref
Eric Burlison,Missouri (MO) - 7th,Republican,Ozark,"Jan. 07, 2023",/members/B001316
Emanuel Cleaver,Missouri (MO) - 5th,Democrat,Kansas City,"Jan. 07, 2023",/members/C001061
Ryan K. Zinke,Montana (MT) - 1st,Republican,Whitefish,"Jan. 07, 2023",/members/Z000018
Elijah Crane,Arizona (AZ) - 2nd,Republican,Oro Valley,"Jan. 07, 2023",/members/C001132
John Joyce,Pennsylvania (PA) - 13th,Republican,Hollidaysburg,"Jan. 07, 2023",/members/J000302
Andrew Ogles,Tennessee (TN) - 5th,Republican,Columbia,"Jan. 07, 2023",/members/O000175
Mark Takano,California (CA) - 39th,Democrat,Riverside,"Jan. 07, 2023",/members/T000472
Danny K. Davis,Illinois (IL) - 7th,Democrat,Chicago,"Jan. 07, 2023",/members/D000096
Mike Garcia,California (CA) - 27th,Republican,Santa Clarita,"Jan. 07, 2023",/members/G000061
Frank D. Lucas,Oklahoma (OK) - 3rd,Republican,Cheyenne,"Jan. 07, 2023",/members/L000491
Judy Chu,California (CA) - 28th,Democrat,Monterey Park,"Jan. 07, 2023",/members/C001080
Yvette D. Clarke,New York (NY) - 9th,Democrat,Brooklyn,"Jan. 07, 2023",/members/C001067
Ritchie Torres,New York (NY) - 15th,Democrat,Bronx,"Jan. 07, 2023",/members/T000486
Claudia Tenney,New York (NY) - 24th,Republican,Canandaigua,"Jan. 07, 2023",/members/T000478
Ken Buck,Colorado (CO) - 4th,Republican,Windsor,"Jan. 07, 2023",/members/B001297
Kay Granger,Texas (TX) - 12th,Republican,Fort Worth,"Jan. 07, 2023",/members/G000377
Tony Gonzales,Texas (TX) - 23rd,Republican,San Antonio,"Jan. 07, 2023",/members/G000594
Glenn Thompson,Pennsylvania (PA) - 15th,Republican,Howard,"Jan. 07, 2023",/members/T000467
Lloyd Smucker,Pennsylvania (PA) - 11th,Republican,Lancaster,"Jan. 07, 2023",/members/S001199
