Member,Vote,Party,State,Profile
Adams,Yea,Democratic,NC,/members/A000370
Aderholt,Nay,Republican,AL,/members/A000055
Aguilar,Yea,Democratic,CA,/members/A000371
Allen,Nay,Republican,GA,/members/A000372
Allred,Yea,Democratic,TX,/members/A000376
Amodei,Not Voting,Republican,NV,/members/A000369
Armstrong,Nay,Republican,ND,/members/A000377
Arrington,Nay,Republican,TX,/members/A000375
Auchincloss,Yea,Democratic,MA,/members/A000148
Axne,Yea,Democratic,IA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000378
Babin,Not Voting,Republican,TX,/members/B001291
Bacon,Nay,Republican,NE,/members/B001298
Baird,Nay,Republican,IN,/members/B001307
Balderson,Not Voting,Republican,OH,/members/B001306
Banks,Nay,Republican,IN,/members/B001299
Barr,Nay,Republican,KY,/members/B001282
Barragan,Yea,Democratic,CA,/members/B001300
Bass,Yea,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001270
Beatty,Yea,Democratic,OH,/members/B001281
Bentz,Nay,Republican,OR,/members/B000668
Bera,Yea,Democratic,CA,/members/B001287
Bergman,Not Voting,Republican,MI,/members/B001301
Beyer,Yea,Democratic,VA,/members/B001292
Bice (OK),Nay,Republican,OK,/members/B000740
Biggs,Not Voting,Republican,AZ,/members/B001302
Bilirakis,Nay,Republican,FL,/members/B001257
Bishop (GA),Yea,Democratic,GA,/members/B000490
Bishop (NC),Not Voting,Republican,NC,/members/B001311
Blumenauer,Yea,Democratic,OR,/members/B000574
Blunt Rochester,Yea,Democratic,DE,/members/B001303
Boebert,Not Voting,Republican,CO,/members/B000825
Bonamici,Yea,Democratic,OR,/members/B001278
Bost,Not Voting,Republican,IL,/members/B001295
Bourdeaux,Yea,Democratic,GA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001312
Bowman,Yea,Democratic,NY,/members/B001223
"Boyle, Brendan F.",Yea,Democratic,PA,/members/B001296
Brady,Not Voting,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000755
Brooks,Not Voting,Republican,AL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001274
Brown (MD),Yea,Democratic,MD,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001304
Brown (OH),Yea,Democratic,OH,/members/B001313
Brownley,Yea,Democratic,CA,/members/B001285
Buchanan,Nay,Republican,FL,/members/B001260
Buck,Nay,Republican,CO,/members/B001297
Bucshon,Not Voting,Republican,IN,/members/B001275
Budd,Nay,Republican,NC,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001305
Burchett,Not Voting,Republican,TN,/members/B001309
Burgess,Nay,Republican,TX,/members/B001248
Bush,Yea,Democratic,MO,/members/B001224
Bustos,Yea,Democratic,IL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001286
