Member,Vote,Party,State,ProfileAdams,No,Democratic,NC,/members/A000370
Aderholt,Aye,Republican,AL,/members/A000055
Aguilar,No,Democratic,CA,/members/A000371
Allen,Aye,Republican,GA,/members/A000372
Allred,No,Democratic,TX,/members/A000376
Amodei,Aye,Republican,NV,/members/A000369
Armstrong,Aye,Republican,ND,/members/A000377
Arrington,Aye,Republican,TX,/members/A000375
Auchincloss,No,Democratic,MA,/members/A000148
Axne,No,Democratic,IA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000378
Babin,Aye,Republican,TX,/members/B001291
Bacon,Aye,Republican,NE,/members/B001298
Baird,Aye,Republican,IN,/members/B001307
Balderson,Aye,Republican,OH,/members/B001306
Banks,Aye,Republican,IN,/members/B001299
Barr,Aye,Republican,KY,/members/B001282
Barragan,No,Democratic,CA,/members/B001300
Bass,No,Democratic,CA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001270
Beatty,No,Democratic,OH,/members/B001281
Bentz,Aye,Republican,OR,/members/B000668
Bera,No,Democratic,CA,/members/B001287
Bergman,Aye,Republican,MI,/members/B001301
Beyer,No,Democratic,VA,/members/B001292
Bice (OK),Aye,Republican,OK,/members/B000740
Biggs,Aye,Republican,AZ,/members/B001302
Bilirakis,Aye,Republican,FL,/members/B001257
Bishop (GA),No,Democratic,GA,/members/B000490
Bishop (NC),Aye,Republican,NC,/members/B001311
Blumenauer,No,Democratic,OR,/members/B000574
Blunt Rochester,No,Democratic,DE,/members/B001303
Boebert,Aye,Republican,CO,/members/B000825
Bonamici,No,Democratic,OR,/members/B001278
Bost,Aye,Republican,IL,/members/B001295
Bourdeaux,No,Democratic,GA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001312
Bowman,No,Democratic,NY,/members/B001223
Boyle, Brendan F.,No,Democratic,PA,/members/B001296
Brady,Aye,Republican,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000755
Brooks,Aye,Republican,AL,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001274
Brown (MD),No,Democratic,MD,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001304
Brown (OH),No,Democratic,OH,/members/B001313
Brownley,No,Democratic,CA,/members/B001285
Buchanan,Aye,Republican,FL,/members/B001260
Buck,Aye,Republican,CO,/members/B001297
