Roll,Issue,Question,Description,Time,Results31,Bill Number: H. R. 22, On Passage,Protecting America’s Strategic Petroleum Reserve from China Act,Jan 12, 2023, 11:02 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-31.csv
30,Bill Number: H. Con. Res. 3, On Agreeing to the Resolution,Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches,Jan 11, 2023, 04:38 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-30.csv
29,Bill Number: H. R. 26, On Passage,Born-Alive Abortion Survivors Protection Act,Jan 11, 2023, 04:29 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-29.csv
28,Bill Number: H. R. 26, On Motion to Recommit,Born-Alive Abortion Survivors Protection Act,Jan 11, 2023, 04:20 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-28.csv
27,Bill Number: H. Res. 12, On Agreeing to the Resolution,Establishing a Select Subcommittee on the Weaponization of the Federal Government as a select investigative subcommittee of the Committee on the Judiciary,Jan 10, 2023, 04:29 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-27.csv
26,Bill Number: H. Res. 11, On Agreeing to the Resolution,Establishing the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,Jan 10, 2023, 04:20 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-26.csv
25,Bill Number: H. R. 23, On Passage,Family and Small Business Taxpayer Protection Act,Jan 09, 2023, 09:23 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-25.csv
24,Bill Number: H. R. 23, On Motion to Recommit,Family and Small Business Taxpayer Protection Act,Jan 09, 2023, 09:16 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-24.csv
23,Bill Number: H. Res. 5, On Agreeing to the Resolution,Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes,Jan 09, 2023, 07:05 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-23.csv
22,Bill Number: H. Res. 5, On Motion to Commit,Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes,Jan 09, 2023, 06:55 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-22.csv
21,Bill Number: H. Res. 5, On Ordering the Previous Question,Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes,Jan 09, 2023, 06:48 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-21.csv
20,None, Election of the Speaker,,Jan 07, 2023, 12:34 AM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-20.csv
19,ADJOURN, On Motion to Adjourn,,Jan 06, 2023, 11:40 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-19.csv
18,None, Election of the Speaker,,Jan 06, 2023, 11:07 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-18.csv
17,ADJOURN, On Motion to Adjourn,,Jan 06, 2023, 03:35 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-17.csv
16,None, Election of the Speaker,,Jan 06, 2023, 02:55 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-16.csv
15,None, Election of the Speaker,,Jan 06, 2023, 01:46 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-15.csv
14,ADJOURN, On Motion to Adjourn,,Jan 05, 2023, 08:03 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-14.csv
13,None, Election of the Speaker,,Jan 05, 2023, 07:32 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-13.csv
12,None, Election of the Speaker,,Jan 05, 2023, 05:52 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-12.csv
11,None, Election of the Speaker,,Jan 05, 2023, 04:29 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-11.csv
10,None, Election of the Speaker,,Jan 05, 2023, 03:01 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-10.csv
9,None, Election of the Speaker,,Jan 05, 2023, 01:16 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-9.csv
8,ADJOURN, On Motion to Adjourn,,Jan 04, 2023, 08:21 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-8.csv
7,None, Election of the Speaker,,Jan 04, 2023, 04:19 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-7.csv
6,None, Election of the Speaker,,Jan 04, 2023, 02:40 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-6.csv
5,None, Election of the Speaker,,Jan 04, 2023, 01:12 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-5.csv
4,None, Election of the Speaker,,Jan 03, 2023, 04:55 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-4.csv
3,None, Election of the Speaker,,Jan 03, 2023, 03:16 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-3.csv
2,None, Election of the Speaker,,Jan 03, 2023, 01:39 PM,https://spacepowermonkey.com/mfpkg-pol-tracker/votes/118-1-2.csv
